route_id,route_short_name,route_long_name,scheduled_trips,directions,first_departure_seconds,last_departure_seconds,last_arrival_seconds,departure_span_hours,full_service_span_hours,avg_headway_min,median_headway_min,p90_headway_min,max_headway_min,headway_observations,min_direction_trips,max_direction_trips,directional_balance_ratio,first_departure,last_departure,trips_early_morning,trips_am_peak,trips_midday,trips_pm_peak,trips_evening,trips_late_night,trips_other,trips_unknown,median_headway_early_morning_min,median_headway_am_peak_min,median_headway_midday_min,median_headway_pm_peak_min,median_headway_evening_min,median_headway_late_night_min,all_day_service_flag
38,38,Creditview,77,2,16200,88800,91920,20.17,21.03,31.44,30.0,42.0,50.0,75.0,38,39,0.97,04:30,24:40,7,13,23,16,10,8,0,0,24.0,28.0,35.0,30.0,32.0,46.0,1
90,90,Terragar-Copenhagen Loop,63,2,16500,84780,85860,18.97,19.27,36.08,30.0,50.0,54.0,61.0,30,33,0.91,04:35,23:33,6,11,17,16,8,5,0,0,25.0,30.0,50.0,30.0,37.5,46.0,1
73,73,Kamato,34,2,20700,69000,69540,13.42,13.57,31.7,31.5,39.1,43.0,30.0,17,17,1.0,05:45,19:10,2,12,4,15,1,0,0,0,,29.0,31.5,34.0,36.0,,1
15,15,Drew,65,2,18360,88800,90300,19.57,19.98,36.57,32.0,39.6,230.0,63.0,32,33,0.97,05:06,24:40,6,11,12,15,12,9,0,0,20.0,34.0,30.0,32.0,26.0,35.0,1
8,8,Cawthra,71,2,17760,85200,87180,18.73,19.28,31.99,35.0,42.2,45.0,69.0,35,36,0.97,04:56,23:40,4,13,26,13,9,6,0,0,29.0,31.0,35.0,39.0,40.0,42.0,1
29,29,Park Royal,68,2,15480,91020,93300,20.98,21.62,38.11,38.0,50.0,51.0,66.0,33,35,0.94,04:18,25:17,8,11,20,12,9,8,0,0,27.5,36.0,38.0,40.0,50.0,50.5,1
16,16,Malton,50,2,16500,85200,86940,19.08,19.57,40.94,40.0,44.0,44.0,48.0,24,26,0.92,04:35,23:40,3,9,17,11,7,3,0,0,30.0,41.0,40.0,44.0,40.0,40.0,1
43,43,Matheson,18,2,17400,71160,74640,14.93,15.9,40.38,40.0,42.0,42.0,16.0,9,9,1.0,04:50,19:46,2,5,3,6,2,0,0,0,40.0,40.0,40.0,40.0,41.0,,1
49,49,McDowell,52,2,21300,72000,73140,14.08,14.4,33.12,40.5,48.0,48.0,50.0,26,26,1.0,05:55,20:00,1,17,16,14,4,0,0,0,,15.5,46.0,36.0,38.5,,1
36,36,Ridgeway,66,2,20460,94500,96060,20.57,21.0,38.09,41.0,44.0,46.0,64.0,33,33,1.0,05:41,26:15,2,9,19,13,8,15,0,0,,40.0,44.0,44.0,41.0,34.0,1
