route_id,route_short_name,route_long_name,direction_id,shape_id,scheduled_trips,shape_path_km,shape_points,start_lat,start_lon,end_lat,end_lon,straight_line_km,directness_ratio
44,44,Mississauga Road,1,440140,51,15.182134237213345,721,43.583459,-79.758921,43.547802,-79.66385,8.625217876743772,0.5681162965614059
45,45,Winston Churchill,0,450207,38,19.859507165819743,278,43.512729,-79.633192,43.5838,-79.75894,12.851496914332634,0.6471206363293538
45,45,Winston Churchill,0,450206,14,18.146168435110933,356,43.512729,-79.633192,43.5838,-79.75894,12.851496914332634,0.7082209646784902
45,45,Winston Churchill,1,450208,36,19.948815178782482,301,43.58347,-79.758449,43.512729,-79.633192,12.797749802321801,0.6415293182892116
45,45,Winston Churchill,1,450209,15,18.235471538506406,381,43.58347,-79.758449,43.512729,-79.633192,12.797749802321801,0.7018052576977679
46,46,Tenth Line,0,460043,29,11.519214022675197,449,43.552318,-79.700084,43.5838,-79.75894,5.894039637309192,0.5116702950137889
46,46,Tenth Line,0,460042,2,9.441173702304274,410,43.560712,-79.711185,43.5838,-79.75894,4.625141336208121,0.489890503241062
46,46,Tenth Line,0,460033,1,1.796348888266792,84,43.574468,-79.773379,43.5838,-79.75894,1.5587021294833652,0.8677056777023308
46,46,Tenth Line,1,460044,30,11.119217563919772,452,43.583595,-79.758586,43.552318,-79.700084,5.857562216483105,0.5267962590722242
48,48,Erin Mills,0,480096,44,14.56554137528177,673,43.547812,-79.664451,43.5838,-79.75894,8.600644374525979,0.5904788674124789
48,48,Erin Mills,1,480095,43,15.151150234111926,756,43.583276,-79.758415,43.547812,-79.664451,8.536181355905933,0.5634015387615404
49,49,McDowell,0,490062,17,5.253468363712329,146,43.555894,-79.752901,43.575544,-79.710514,4.054289344250265,0.7717357493298633
49,49,McDowell,0,490067,9,5.410740999435308,117,43.555894,-79.752901,43.560712,-79.711185,3.4039048217178998,0.629101415512801
49,49,McDowell,1,490070,17,7.7362393567489125,209,43.575544,-79.710514,43.555894,-79.752901,4.054289344250265,0.5240646207143784
49,49,McDowell,1,490071,9,7.255548465685599,168,43.560712,-79.711185,43.555894,-79.752901,3.4039048217178998,0.46914507398252964
51,51,Tomken,0,510126,63,16.865883789945283,340,43.60262,-79.589145,43.701892,-79.691162,13.755590293678377,0.815586687599429
51,51,Tomken,0,510131,1,11.009904221737282,157,43.633215,-79.641249,43.701892,-79.691162,8.627548387959177,0.7836170246536271
51,51,Tomken,1,510130,62,18.22786509003826,350,43.701892,-79.691162,43.60262,-79.589145,13.755590293678377,0.754646264152787
51,51,Tomken,1,510129,2,6.541733102648009,144,43.626713,-79.629868,43.60262,-79.589145,4.233795957588622,0.6471979047685141
51,51,Tomken,1,510132,1,11.041125854115279,269,43.654538,-79.669996,43.60262,-79.589145,8.699070180416626,0.7878789079443638
53,53,Kennedy,0,530100,42,13.799162105438004,330,43.581996,-79.624854,43.652133,-79.710486,10.408797222231577,0.7543064675013605
53,53,Kennedy,1,530103,41,13.873341302764135,328,43.652133,-79.710486,43.581996,-79.624854,10.408797222231577,0.7502732755632358
57,57,Courtneypark,0,570148,47,22.02237010889827,601,43.654194,-79.74054,43.663296,-79.592269,11.970622766868873,0.5435665056792444
57,57,Courtneypark,0,570149,10,26.29788500728328,710,43.654194,-79.74054,43.663296,-79.592269,11.970622766868873,0.45519336492472956
57,57,Courtneypark,1,570156,49,23.515283255425523,718,43.663296,-79.592269,43.654194,-79.74054,11.970622766868873,0.5090571368774378
57,57,Courtneypark,1,570155,9,27.790798153810535,827,43.663296,-79.592269,43.654194,-79.74054,11.970622766868873,0.43074051708110156
57,57,Courtneypark,1,570152,1,7.608622371354772,207,43.626528,-79.70284,43.654194,-79.74054,4.320565354748774,0.5678512014231382
61,61,Mavis,0,610210,93,14.720712608413683,393,43.593891,-79.646132,43.656832,-79.741267,10.373947570868957,0.7047177570017694
61,61,Mavis,1,610211,94,15.028926119493043,384,43.656832,-79.741267,43.593891,-79.646132,10.373947570868957,0.6902653914449406
