route_id,route_short_name,route_long_name,direction_id,trips,first_departure_seconds,last_departure_seconds,first_arrival_seconds,last_arrival_seconds,departure_span_hours,full_service_span_hours,first_departure,last_departure,avg_headway_min,median_headway_min,p90_headway_min,max_headway_min,headway_observations
71,71,Sheridan,0,5,58800,64200,62160,67560,1.5,2.433333333333333,16:20,17:50,22.5,20.0,27.0,30.0,4.0
71,71,Sheridan,1,3,26220,29160,28980,31980,0.8166666666666667,1.6,07:17,08:06,24.5,24.5,24.9,25.0,2.0
73,73,Kamato,0,17,20700,68280,21480,69000,13.216666666666667,13.416666666666666,05:45,18:58,31.8,32.0,39.2,43.0,15.0
73,73,Kamato,1,17,21480,69000,21960,69540,13.2,13.35,05:58,19:10,31.6,31.0,38.6,42.0,15.0
74,74,Explorer,0,16,19380,73080,20280,74160,14.916666666666666,15.216666666666667,05:23,20:18,45.07142857142857,46.0,47.0,47.0,14.0
74,74,Explorer,1,17,18480,74520,19140,75300,15.566666666666666,15.783333333333333,05:08,20:42,44.93333333333333,45.0,46.0,50.0,15.0
90,90,Terragar-Copenhagen Loop,0,30,19620,83400,20760,84240,17.716666666666665,17.95,05:27,23:10,36.6551724137931,30.0,50.0,54.0,29.0
90,90,Terragar-Copenhagen Loop,1,33,16500,84780,17580,85860,18.966666666666665,19.266666666666666,04:35,23:33,35.5625,30.0,50.0,50.0,32.0
101,101,Dundas Express,0,69,16260,84360,19380,87840,18.916666666666668,19.883333333333333,04:31,23:26,16.691176470588236,15.0,20.0,30.0,68.0
101,101,Dundas Express,1,68,18000,83400,21300,86460,18.166666666666668,19.016666666666666,05:00,23:10,16.26865671641791,15.0,19.0,25.0,67.0
103,103,Hurontario Express,0,52,15000,89820,17220,91800,20.783333333333335,21.333333333333332,04:10,24:57,24.45098039215686,24.0,38.0,55.0,51.0
103,103,Hurontario Express,1,52,16800,89760,18960,91740,20.266666666666666,20.816666666666666,04:40,24:56,23.84313725490196,24.0,30.0,50.0,51.0
107,107,Malton Express,0,73,18000,83520,21060,86340,18.2,18.983333333333334,05:00,23:12,15.166666666666666,15.0,20.0,25.0,72.0
107,107,Malton Express,1,74,17400,83700,20340,86580,18.416666666666668,19.216666666666665,04:50,23:15,15.136986301369863,15.0,20.0,30.0,73.0
108,108,Financial Express,0,13,18720,36240,21000,38700,4.866666666666666,5.55,05:12,10:04,24.333333333333332,26.5,30.0,30.0,12.0
108,108,Financial Express,1,13,54900,71760,58440,74400,4.683333333333334,5.416666666666667,15:15,19:56,23.416666666666668,24.5,30.0,30.0,12.0
109,109,Meadowvale Express,0,82,18600,85200,21600,88140,18.5,19.316666666666666,05:10,23:40,13.703703703703704,15.0,15.0,25.0,81.0
109,109,Meadowvale Express,1,80,14760,81360,17700,84480,18.5,19.366666666666667,04:06,22:36,14.050632911392405,15.0,16.0,25.0,79.0
110,110,University Express,0,59,15540,90240,16440,91140,20.75,21.0,04:19,25:04,21.46551724137931,21.0,24.60000000000001,40.0,58.0
110,110,University Express,1,59,14700,91560,16680,92520,21.35,21.616666666666667,04:05,25:26,22.086206896551722,21.0,26.300000000000004,31.0,58.0
126,126,Burnhamthorpe Express,0,25,24600,69000,27240,71820,12.333333333333334,13.116666666666667,06:50,19:10,20.434782608695652,20.0,22.0,22.0,23.0
126,126,Burnhamthorpe Express,1,24,24600,67800,27180,70560,12.0,12.766666666666667,06:50,18:50,20.454545454545453,20.0,22.0,22.0,22.0
135,135,Eglinton Express,0,27,21000,63420,24600,67020,11.783333333333333,12.783333333333333,05:50,17:37,15.0,15.0,15.0,15.0,25.0
