route_id,route_short_name,route_long_name,scheduled_trips_geometry,directions_geometry,unique_shapes,avg_shape_path_km,median_shape_path_km,max_shape_path_km,avg_straight_line_km,avg_directness_ratio,unique_stops,total_stop_visits,avg_stops_per_trip,stops_per_km,scheduled_trips_speed,directions_speed,avg_trip_distance_km,median_trip_distance_km,avg_duration_min,median_duration_min,p10_duration_min,p90_duration_min,avg_scheduled_speed_kmh,median_scheduled_speed_kmh,p10_scheduled_speed_kmh,p90_scheduled_speed_kmh,min_scheduled_speed_kmh,max_scheduled_speed_kmh,avg_stop_count,duration_spread_min,speed_spread_kmh,share_trips_under_15_kmh,scheduled_trips,directions,first_departure_seconds,last_departure_seconds,last_arrival_seconds,departure_span_hours,full_service_span_hours,avg_headway_min,median_headway_min,p90_headway_min,max_headway_min,headway_observations,min_direction_trips,max_direction_trips,directional_balance_ratio,first_departure,last_departure,trips_early_morning,trips_am_peak,trips_midday,trips_pm_peak,trips_evening,trips_late_night,trips_other,trips_unknown,median_headway_early_morning_min,median_headway_am_peak_min,median_headway_midday_min,median_headway_pm_peak_min,median_headway_evening_min,median_headway_late_night_min,all_day_service_flag,loop_or_circulator_flag,directness_ratio_for_scoring,speed_score,headway_score,trip_volume_score,frequency_score,service_span_score,directness_score,stop_spacing_efficiency_score,directional_balance_score,all_day_service_score,final_efficiency_score,efficiency_rank,score_band,service_importance_score,improvement_need_score,advocacy_priority_score,advocacy_priority_rank
51,51,Tomken,129.0,2.0,5.0,17.27,11.041,18.228,13.529,0.783,81,5277,40.907,4.69,129,2,17.27,16.87,51.91,54.0,42.0,60.0,20.24,19.84,17.45,24.09,15.7,28.72,40.91,18.0,6.65,0.0,129,2,15960,93240,95580,21.47,22.12,20.18,14.0,41.0,52.0,126.0,64,65,0.98,04:26,25:54,12,26,35,35,11,10,0,0,15.5,14.0,25.0,13.0,26.0,48.0,1,0,0.783,40.909090909090914,90.16666666666667,78.03030303030303,86.52575757575758,77.27272727272727,87.09677419354838,66.15151515151516,48.484848484848484,100,67.98,12,moderate,78.03030303030303,32.019999999999996,50.42,39
7,7,Airport,108.0,2.0,2.0,25.829,25.829,25.859,14.181,0.549,108,5940,55.0,4.181,108,2,25.83,25.83,67.04,69.0,54.0,77.0,23.5,22.46,20.15,28.67,19.35,32.25,55.0,23.0,8.52,0.0,108,2,7500,92760,95820,23.68,24.53,26.39,25.0,34.0,42.0,106.0,54,54,1.0,02:05,25:46,17,15,29,19,14,14,0,0,23.0,24.0,25.0,26.0,25.0,34.0,1,0,0.549,72.72727272727273,42.666666666666664,72.72727272727273,51.68484848484849,98.48484848484848,40.32258064516129,72.21212121212122,81.06060606060606,100,67.25,13,moderate,72.72727272727273,32.75,48.74,43
57,57,Courtneypark,116.0,2.0,5.0,23.345,23.515,27.791,11.905,0.513,86,4923,42.44,3.684,116,2,23.34,23.52,59.03,58.0,49.5,69.0,24.02,23.52,20.33,28.79,19.02,32.07,42.44,19.5,8.47,0.0,116,2,14400,72480,75240,16.13,16.9,15.9,13.0,26.0,26.0,114.0,57,59,0.97,04:00,20:08,13,29,36,33,5,0,0,0,13.0,12.0,24.0,13.0,20.0,,1,0,0.513,80.3030303030303,92.66666666666667,74.24242424242425,87.13939393939393,33.33333333333333,32.25806451612903,76.75757575757575,37.121212121212125,100,63.09,14,moderate,74.24242424242425,36.91,51.84,31
26,26,Burnhamthorpe,156.0,2.0,4.0,21.262,12.925,22.068,15.13,0.714,119,9193,58.929,5.597,156,2,21.26,21.6,63.4,67.0,50.5,73.0,20.64,19.47,18.0,26.2,17.28,28.78,58.93,22.5,8.2,0.0,156,2,13980,96660,99420,22.97,23.73,17.44,15.0,26.0,34.0,154.0,75,81,0.93,03:53,26:51,14,25,50,32,17,18,0,0,19.0,14.0,15.0,14.5,24.0,30.0,1,0,0.714,46.96969696969697,77.66666666666667,86.36363636363636,80.27575757575758,92.42424242424242,70.96774193548387,49.484848484848484,16.666666666666664,100,62.94,15,moderate,86.36363636363636,37.06,56.78,11
3,3,Bloor,180.0,2.0,2.0,13.744,13.744,13.825,9.88,0.719,100,9090,50.5,7.276,180,2,13.74,13.74,43.66,45.0,33.0,51.0,19.36,18.22,16.07,24.84,15.18,30.72,50.5,18.0,8.77,0.0,180,2,7200,94800,96660,24.33,24.85,15.93,15.0,30.0,30.0,178.0,90,90,1.0,02:00,26:20,22,31,52,39,19,17,0,0,20.0,10.0,14.0,12.0,20.0,30.0,1,0,0.719,25.757575757575758,77.66666666666667,95.45454545454545,83.0030303030303,100.0,74.19354838709677,8.575757575757578,81.06060606060606,100,62.28,16,moderate,95.45454545454545,37.72,60.81,6
17,17,Hurontario,146.0,2.0,2.0,9.303,9.304,9.376,8.269,0.889,45,3432,23.507,4.837,146,2,9.3,9.23,30.07,31.0,21.0,37.0,19.35,17.87,14.97,26.79,14.58,29.61,23.51,16.0,11.82,0.11,146,2,6780,93000,94140,23.95,24.27,19.59,20.0,30.0,30.0,144.0,72,74,0.97,01:53,25:50,17,18,36,33,25,17,0,0,28.0,20.0,21.0,15.0,15.0,30.0,1,0,0.889,24.242424242424242,61.833333333333336,83.33333333333334,68.28333333333333,94.6969696969697,95.96774193548387,64.63636363636363,37.121212121212125,100,61.91,17,moderate,83.33333333333334,38.09,56.19,17
5,5,Dixie,141.0,2.0,2.0,16.895,16.902,17.796,14.272,0.847,90,6481,45.965,5.327,141,2,16.9,16.01,58.26,58.0,46.0,69.0,17.81,16.95,15.47,21.36,14.63,33.12,45.96,23.0,5.88,0.04,141,2,14100,93360,95100,22.02,22.5,18.74,15.0,30.4,40.0,139.0,70,71,0.99,03:55,25:56,12,24,49,30,13,13,0,0,23.5,15.0,15.0,15.0,25.0,38.0,1,0,0.847,13.636363636363635,77.66666666666667,81.81818181818183,78.9121212121212,81.81818181818183,91.93548387096774,55.54545454545455,58.333333333333336,100,60.59,18,moderate,81.81818181818183,39.41,56.37,13
108,108,Financial Express,26.0,2.0,2.0,31.476,31.476,32.076,15.613,0.496,50,741,28.5,1.589,26,2,31.48,31.48,50.46,49.5,42.0,61.5,38.17,37.82,31.3,44.46,30.55,48.75,28.5,19.5,13.17,0.0,26,2,18720,71760,74400,14.73,15.47,23.88,24.5,30.0,30.0,24.0,13,13,1.0,05:12,19:56,2,8,3,11,2,0,0,0,30.0,22.5,30.0,23.0,30.0,,1,0,0.496,100.0,45.99999999999999,19.696969696969695,38.1090909090909,27.27272727272727,29.03225806451613,91.9090909090909,81.06060606060606,100,60.27,19,moderate,19.696969696969695,39.73,31.72,66
20,20,Rathburn,104.0,2.0,2.0,13.664,13.665,13.699,9.867,0.722,75,3897,37.471,5.489,104,2,13.66,13.63,37.07,38.0,29.3,43.0,22.51,21.63,19.12,27.92,17.4,29.36,37.47,13.7,8.8,0.0,104,2,16740,91260,92940,20.7,21.17,23.96,23.5,37.8,40.0,102.0,51,53,0.96,04:39,25:21,8,17,33,22,13,11,0,0,20.0,24.0,24.0,22.0,18.0,38.0,1,0,0.722,69.6969696969697,51.0,70.45454545454545,56.83636363636363,60.60606060606061,75.80645161290323,51.0,28.78787878787879,100,60.07,20,moderate,70.45454545454545,39.93,52.14,29
2,2,Hurontario,232.0,2.0,3.0,8.31,8.229,8.407,6.414,0.772,55,6605,28.47,6.619,232,2,8.31,8.23,32.47,33.5,21.1,40.9,16.33,14.9,12.04,23.45,10.97,31.52,28.47,19.8,11.41,0.51,232,2,7200,94080,95280,24.13,24.47,12.39,12.0,18.0,20.0,229.0,115,117,0.98,02:00,26:08,27,34,65,50,30,26,0,0,18.0,12.0,12.0,10.0,12.0,19.0,1,0,0.772,6.0606060606060606,95.16666666666667,100.0,96.61666666666666,96.96969696969697,85.48387096774194,20.696969696969703,48.484848484848484,100,59.96,21,moderate,100.0,40.04,64.02,4
23,23,Lakeshore,96.0,2.0,2.0,12.767,12.767,13.085,11.347,0.889,88,4512,47.0,6.893,96,2,12.77,12.77,37.57,39.0,30.0,43.5,20.88,19.15,17.62,26.17,16.6,29.08,47.0,13.5,8.55,0.0,96,2,15600,94440,96060,21.9,22.35,27.62,26.0,36.0,44.0,94.0,48,48,1.0,04:20,26:14,8,16,29,17,12,14,0,0,21.5,24.0,26.0,28.0,30.0,39.0,1,0,0.889,48.484848484848484,38.5,58.333333333333336,44.45,80.3030303030303,95.96774193548387,13.121212121212125,81.06060606060606,100,59.09,22,moderate,58.333333333333336,40.91,47.88,45
126,126,Burnhamthorpe Express,49.0,2.0,2.0,19.404,19.406,19.543,14.051,0.724,28,711,14.51,1.443,49,2,19.4,19.27,49.61,49.0,45.8,54.2,23.58,23.6,21.64,25.53,20.22,27.27,14.51,8.4,3.9,0.0,49,2,24600,69000,71820,12.33,13.12,20.44,20.0,22.0,22.0,45.0,24,25,0.96,06:50,19:10,0,14,10,24,1,0,0,0,,20.0,20.0,20.0,20.0,,1,0,0.724,75.0,61.833333333333336,30.303030303030305,52.374242424242425,19.696969696969695,77.41935483870968,94.93939393939394,28.78787878787879,100,58.78,23,moderate,30.303030303030305,41.22,36.85,60
