shape_id_text,shape_id,shape_pt_sequence,shape_pt_lon,shape_pt_lat
10392,10392,180001,-79.660041,43.543162
10392,10392,180002,-79.659997,43.543113
10392,10392,180003,-79.65981,43.542922
10392,10392,180004,-79.659557,43.542689
10392,10392,180005,-79.659342,43.542568
10392,10392,180006,-79.658076,43.543218
10392,10392,180007,-79.656147,43.544204
10392,10392,180008,-79.655824,43.544366
10392,10392,180009,-79.655417,43.54457
10392,10392,180010,-79.655061,43.544749
10392,10392,190001,-79.655061,43.544749
10392,10392,190002,-79.654208,43.545174
10392,10392,190003,-79.654137,43.54521
10392,10392,190004,-79.653954,43.545302
10392,10392,190005,-79.65379,43.545403
10392,10392,190006,-79.653641,43.545496
10392,10392,190007,-79.653419,43.545641
10392,10392,190008,-79.653087,43.545889
10392,10392,190009,-79.652931,43.546008
10392,10392,200001,-79.652931,43.546008
10392,10392,200002,-79.652811,43.546098
10392,10392,200003,-79.651722,43.546938
10392,10392,200004,-79.651704,43.546952
10392,10392,200005,-79.651655,43.546991
10392,10392,200006,-79.651627,43.547013
10392,10392,200007,-79.651553,43.547074
10392,10392,200008,-79.651409,43.5472
10392,10392,200009,-79.651339,43.547264
10392,10392,200010,-79.651271,43.547329
10392,10392,200011,-79.651204,43.547395
10392,10392,200012,-79.651139,43.547462
10392,10392,200013,-79.651076,43.547529
10392,10392,200014,-79.651044,43.547565
10392,10392,200015,-79.650975,43.547643
10392,10392,200016,-79.650908,43.547722
10392,10392,200017,-79.650843,43.547801
10392,10392,200018,-79.650781,43.547882
10392,10392,200019,-79.650718,43.547963
10392,10392,200020,-79.650658,43.548044
10392,10392,200021,-79.650601,43.548127
10392,10392,200022,-79.650544,43.54821
10392,10392,200023,-79.650489,43.548293
10392,10392,200024,-79.650437,43.548378
10392,10392,200025,-79.650336,43.548548
10392,10392,200026,-79.65029,43.548634
10392,10392,200027,-79.650245,43.548721
10392,10392,200028,-79.650201,43.548808
10392,10392,200029,-79.650159,43.548895
10392,10392,200030,-79.65015,43.548915
10392,10392,200031,-79.650119,43.548983
10392,10392,200032,-79.650115,43.548992
10392,10392,210001,-79.650115,43.548992
10392,10392,210002,-79.649387,43.550583
10392,10392,210003,-79.649333,43.550702
10392,10392,210004,-79.649249,43.550875
10392,10392,210005,-79.649165,43.551048
10392,10392,210006,-79.649078,43.551221
10392,10392,210007,-79.64899,43.551394
10392,10392,210008,-79.648928,43.551513
10392,10392,220001,-79.648928,43.551513
10392,10392,220002,-79.6489,43.551565
10392,10392,220003,-79.64882,43.551714
10392,10392,220004,-79.648808,43.551736
10392,10392,220005,-79.648714,43.551907
10392,10392,220006,-79.648628,43.552027
10392,10392,220007,-79.648348,43.552422
10392,10392,220008,-79.648106,43.552693
10392,10392,220009,-79.647855,43.552952
10392,10392,220010,-79.647645,43.553146
10392,10392,230001,-79.647645,43.553146
10392,10392,230002,-79.647568,43.553217
10392,10392,230003,-79.645448,43.5551
10392,10392,240001,-79.645448,43.5551
10392,10392,240002,-79.645245,43.555281
10392,10392,240003,-79.644951,43.555534
10392,10392,240004,-79.644662,43.555784
10392,10392,240005,-79.644152,43.556226
10392,10392,240006,-79.643138,43.557089
10392,10392,240007,-79.642989,43.557224
10392,10392,250001,-79.642989,43.557224
10392,10392,250002,-79.642794,43.557399
10392,10392,250003,-79.64228,43.557852
10392,10392,250004,-79.641528,43.558489
10392,10392,250005,-79.639414,43.560307
10392,10392,260001,-79.639414,43.560307
10392,10392,260002,-79.639271,43.56043
10392,10392,260003,-79.639154,43.56053
10392,10392,260004,-79.638156,43.56139
10392,10392,260005,-79.636909,43.562464
10392,10392,260006,-79.636626,43.562708
10392,10392,260007,-79.636424,43.562888
10392,10392,270001,-79.636424,43.562888
10392,10392,270002,-79.636154,43.563131
10392,10392,270003,-79.635961,43.563303
10392,10392,270004,-79.634633,43.564462
10392,10392,270005,-79.634322,43.564726
10392,10392,270006,-79.6336,43.565414
10392,10392,280001,-79.6336,43.565414
10392,10392,280002,-79.632958,43.566025
10392,10392,280003,-79.631954,43.566907
10392,10392,280004,-79.63075,43.567999
10392,10392,290001,-79.63075,43.567999
10392,10392,290002,-79.630577,43.568155
10392,10392,290003,-79.629144,43.569369
10392,10392,290004,-79.627887,43.57045
10392,10392,300001,-79.627887,43.57045
10392,10392,300002,-79.627727,43.570587
10392,10392,300003,-79.625992,43.571995
10392,10392,300004,-79.625432,43.572459
10392,10392,300005,-79.625175,43.572673
10392,10392,300006,-79.624436,43.57328
10392,10392,300007,-79.624118,43.573547
10392,10392,310001,-79.624118,43.573547
10392,10392,310002,-79.623984,43.57366
10392,10392,310003,-79.623071,43.574446
10392,10392,310004,-79.622204,43.575202
10392,10392,310005,-79.621778,43.575566
10392,10392,320001,-79.621778,43.575566
10392,10392,320002,-79.621546,43.575765
10392,10392,320003,-79.620946,43.576276
10392,10392,320004,-79.620199,43.576921
10392,10392,320005,-79.61945,43.57758
10392,10392,320006,-79.619145,43.577843
10392,10392,330001,-79.619145,43.577843
10392,10392,330002,-79.618921,43.578036
10392,10392,330003,-79.618309,43.578568
10392,10392,330004,-79.617747,43.579059
10392,10392,330005,-79.617133,43.579588
10392,10392,330006,-79.616407,43.580246
10392,10392,330007,-79.616152,43.580467
10392,10392,340001,-79.616152,43.580467
10392,10392,340002,-79.615201,43.581288
10392,10392,340003,-79.614706,43.581726
10392,10392,350001,-79.614706,43.581726
10392,10392,350002,-79.614503,43.581907
10392,10392,350003,-79.614358,43.582032
10392,10392,350004,-79.613885,43.582443
10392,10392,350005,-79.612984,43.58321
