route_id,route_short_name,route_long_name,service_period,avg_headway_min,median_headway_min,p90_headway_min,headway_observations
16,16,Malton,unknown,,,,0
17,17,Hurontario,early morning,28.133333333333333,28.0,29.2,15
17,17,Hurontario,AM peak,21.38888888888889,20.0,23.700000000000006,18
17,17,Hurontario,midday,19.97222222222222,21.0,21.0,36
17,17,Hurontario,PM peak,14.878787878787879,15.0,16.0,33
17,17,Hurontario,evening,14.36,15.0,15.0,25
17,17,Hurontario,late night,26.176470588235293,30.0,30.0,17
17,17,Hurontario,other,,,,0
17,17,Hurontario,unknown,,,,0
18,18,Derry,early morning,13.833333333333334,14.0,14.5,6
18,18,Derry,AM peak,14.916666666666666,15.0,15.0,24
18,18,Derry,midday,31.26086956521739,15.0,16.0,23
18,18,Derry,PM peak,15.0,15.0,15.0,32
18,18,Derry,evening,15.0,15.0,15.0,3
18,18,Derry,late night,,,,0
18,18,Derry,other,,,,0
18,18,Derry,unknown,,,,0
20,20,Rathburn,early morning,20.333333333333332,20.0,21.0,6
20,20,Rathburn,AM peak,21.88235294117647,24.0,24.0,17
20,20,Rathburn,midday,22.12121212121212,24.0,24.0,33
20,20,Rathburn,PM peak,21.272727272727273,22.0,22.0,22
20,20,Rathburn,evening,25.846153846153847,18.0,40.0,13
20,20,Rathburn,late night,37.81818181818182,38.0,40.0,11
20,20,Rathburn,other,,,,0
20,20,Rathburn,unknown,,,,0
22,22,Finch,early morning,41.0,41.0,41.7,4
22,22,Finch,AM peak,23.466666666666665,24.0,25.0,15
22,22,Finch,midday,24.724137931034484,25.0,26.0,29
22,22,Finch,PM peak,26.61111111111111,27.0,27.0,18
22,22,Finch,evening,36.8,44.0,44.0,10
22,22,Finch,late night,42.4,43.5,44.0,10
22,22,Finch,other,,,,0
22,22,Finch,unknown,,,,0
23,23,Lakeshore,early morning,22.0,21.5,26.0,6
23,23,Lakeshore,AM peak,23.875,24.0,26.0,16
23,23,Lakeshore,midday,24.82758620689655,26.0,26.0,29
23,23,Lakeshore,PM peak,27.058823529411764,28.0,28.0,17
23,23,Lakeshore,evening,30.666666666666668,30.0,35.400000000000006,12
23,23,Lakeshore,late night,38.142857142857146,39.0,42.800000000000004,14
23,23,Lakeshore,other,,,,0
23,23,Lakeshore,unknown,,,,0
24,24,Northwest,early morning,34.0,34.0,37.2,2
24,24,Northwest,AM peak,34.3,35.0,37.0,10
24,24,Northwest,midday,53.22222222222222,35.0,70.60000000000002,9
24,24,Northwest,PM peak,35.666666666666664,36.0,36.0,12
24,24,Northwest,evening,,,,0
24,24,Northwest,late night,,,,0
24,24,Northwest,other,,,,0
24,24,Northwest,unknown,,,,0
25,25,Traders Loop,early morning,,,,0
25,25,Traders Loop,AM peak,22.714285714285715,20.0,31.4,7
25,25,Traders Loop,midday,23.25,20.0,30.1,4
25,25,Traders Loop,PM peak,23.25,20.0,34.0,8
25,25,Traders Loop,evening,,,,0
25,25,Traders Loop,late night,,,,0
25,25,Traders Loop,other,,,,0
25,25,Traders Loop,unknown,,,,0
26,26,Burnhamthorpe,early morning,16.583333333333332,19.0,22.0,12
26,26,Burnhamthorpe,AM peak,15.12,14.0,19.20000000000001,25
26,26,Burnhamthorpe,midday,14.64,15.0,15.0,50
26,26,Burnhamthorpe,PM peak,14.5,14.5,15.0,32
26,26,Burnhamthorpe,evening,21.529411764705884,24.0,26.0,17
26,26,Burnhamthorpe,late night,30.333333333333332,30.0,34.0,18
26,26,Burnhamthorpe,other,,,,0
26,26,Burnhamthorpe,unknown,,,,0
28,28,Confederation,early morning,14.714285714285714,15.0,15.4,7
28,28,Confederation,AM peak,14.28,15.0,18.0,25
28,28,Confederation,midday,19.18421052631579,20.0,20.300000000000004,38
28,28,Confederation,PM peak,17.185185185185187,18.0,20.0,27
28,28,Confederation,evening,20.22222222222222,20.0,27.3,18
28,28,Confederation,late night,24.416666666666668,24.0,26.0,12
28,28,Confederation,other,,,,0
28,28,Confederation,unknown,,,,0
29,29,Park Royal,early morning,25.833333333333332,27.5,34.5,6
29,29,Park Royal,AM peak,33.09090909090909,36.0,38.0,11
29,29,Park Royal,midday,36.1,38.0,38.0,20
29,29,Park Royal,PM peak,39.5,40.0,40.0,12
29,29,Park Royal,evening,44.22222222222222,50.0,51.0,9
29,29,Park Royal,late night,50.25,50.5,51.0,8
29,29,Park Royal,other,,,,0
29,29,Park Royal,unknown,,,,0
30,30,Rexdale,early morning,44.5,44.5,52.1,2
30,30,Rexdale,AM peak,36.0,32.0,55.0,11
30,30,Rexdale,midday,55.083333333333336,55.0,55.0,12
30,30,Rexdale,PM peak,57.75,58.0,59.0,8
30,30,Rexdale,evening,54.125,54.0,59.0,8
30,30,Rexdale,late night,49.2,50.0,50.0,5
30,30,Rexdale,other,,,,0
30,30,Rexdale,unknown,,,,0
31,31,Ogden,early morning,29.857142857142858,30.0,33.0,7
31,31,Ogden,AM peak,24.0,26.0,31.6,15
31,31,Ogden,midday,29.916666666666668,30.0,34.7,24
31,31,Ogden,PM peak,20.416666666666668,20.5,22.7,24
31,31,Ogden,evening,29.666666666666668,30.0,30.9,12
31,31,Ogden,late night,29.9375,30.0,30.5,16
31,31,Ogden,other,,,,0
31,31,Ogden,unknown,,,,0
35,35,Eglinton,early morning,16.857142857142858,15.0,22.1,14
35,35,Eglinton,AM peak,14.875,15.0,16.0,24
35,35,Eglinton,midday,14.62,15.0,15.100000000000001,50
35,35,Eglinton,PM peak,14.5625,15.0,15.0,32
35,35,Eglinton,evening,16.818181818181817,15.0,20.0,22
35,35,Eglinton,late night,31.333333333333332,30.0,34.6,15
35,35,Eglinton,other,,,,0
35,35,Eglinton,unknown,,,,0
36,36,Ridgeway,early morning,,,,0
36,36,Ridgeway,AM peak,36.666666666666664,40.0,42.4,9
36,36,Ridgeway,midday,37.78947368421053,44.0,44.0,19
36,36,Ridgeway,PM peak,40.92307692307692,44.0,46.0,13
36,36,Ridgeway,evening,41.5,41.0,44.0,8
36,36,Ridgeway,late night,35.06666666666667,34.0,38.0,15
36,36,Ridgeway,other,,,,0
36,36,Ridgeway,unknown,,,,0
38,38,Creditview,early morning,20.0,24.0,27.2,5
38,38,Creditview,AM peak,27.23076923076923,28.0,30.0,13
38,38,Creditview,midday,31.391304347826086,35.0,40.0,23
38,38,Creditview,PM peak,29.75,30.0,30.0,16
38,38,Creditview,evening,33.6,32.0,41.0,10
38,38,Creditview,late night,46.25,46.0,50.0,8
38,38,Creditview,other,,,,0
38,38,Creditview,unknown,,,,0
39,39,Britannia,early morning,17.625,17.0,21.0,8
39,39,Britannia,AM peak,21.235294117647058,20.0,24.0,17
39,39,Britannia,midday,30.608695652173914,35.0,37.0,23
39,39,Britannia,PM peak,20.5,21.0,22.7,24
39,39,Britannia,evening,30.90909090909091,33.0,42.0,11
39,39,Britannia,late night,37.09090909090909,38.0,38.0,11
39,39,Britannia,other,,,,0
39,39,Britannia,unknown,,,,0
42,42,Derry,early morning,20.0,20.0,22.0,11
42,42,Derry,AM peak,15.0,15.0,15.0,24
42,42,Derry,midday,15.0,15.0,15.0,48
42,42,Derry,PM peak,15.0,15.0,15.0,32
42,42,Derry,evening,15.0,15.0,15.0,24
42,42,Derry,late night,15.0,15.0,15.0,30
42,42,Derry,other,,,,0
42,42,Derry,unknown,,,,0
43,43,Matheson,early morning,40.0,40.0,40.0,1
43,43,Matheson,AM peak,40.0,40.0,40.0,5
43,43,Matheson,midday,40.0,40.0,40.0,2
43,43,Matheson,PM peak,40.666666666666664,40.0,42.0,6
43,43,Matheson,evening,41.0,41.0,41.8,2
43,43,Matheson,late night,,,,0
43,43,Matheson,other,,,,0
43,43,Matheson,unknown,,,,0
44,44,Mississauga Road,early morning,21.5,22.0,22.0,4
44,44,Mississauga Road,AM peak,19.470588235294116,16.0,26.8,17
44,44,Mississauga Road,midday,22.5625,25.0,26.0,32
44,44,Mississauga Road,PM peak,20.166666666666668,16.0,27.4,24
44,44,Mississauga Road,evening,25.0,26.0,36.400000000000006,13
44,44,Mississauga Road,late night,47.7,48.0,50.0,10
44,44,Mississauga Road,other,,,,0
44,44,Mississauga Road,unknown,,,,0
45,45,Winston Churchill,early morning,26.8,30.0,35.4,5
45,45,Winston Churchill,AM peak,19.31578947368421,20.0,20.799999999999997,19
45,45,Winston Churchill,midday,26.22222222222222,30.0,32.0,27
45,45,Winston Churchill,PM peak,17.678571428571427,18.0,20.0,28
45,45,Winston Churchill,evening,23.285714285714285,22.0,29.400000000000002,14
45,45,Winston Churchill,late night,29.25,30.0,30.0,8
45,45,Winston Churchill,other,,,,0
45,45,Winston Churchill,unknown,,,,0
46,46,Tenth Line,early morning,45.0,45.0,49.0,3
46,46,Tenth Line,AM peak,34.4,41.0,46.0,10
46,46,Tenth Line,midday,41.611111111111114,44.0,46.0,18
46,46,Tenth Line,PM peak,44.3,48.0,48.0,10
46,46,Tenth Line,evening,44.5,44.0,46.0,8
46,46,Tenth Line,late night,40.54545454545455,40.0,42.0,11
46,46,Tenth Line,other,,,,0
46,46,Tenth Line,unknown,,,,0
