stop_id,stop_code,stop_name,stop_lat,stop_lon
0246,246.0,Truscott Dr At Davebrook Rd,43.519687,-79.640166
0247,247.0,Truscott Dr At Robillard Rd,43.52241,-79.638986
0248,248.0,Truscott Dr At Delaney Dr,43.524521,-79.63705
0249,249.0,Truscott Dr At Clarkson Rd,43.525903,-79.635893
0250,250.0,Truscott Dr At Mazo Cres,43.527365,-79.63388
0251,251.0,Truscott Dr At Chasehurst Dr,43.531307,-79.627715
0252,252.0,Truscott Dr At Lorne Park Rd,43.532186,-79.62517
0253,253.0,Lorne Park Rd At Lindburgh Crt,43.533118,-79.624122
0254,254.0,Lorne Park Rd At Royal Oaks Rd,43.535114,-79.626799
0255,255.0,Lorne Park Rd At Indian Rd,43.536212,-79.628284
0256,256.0,Indian Rd At Narva Rd,43.537191,-79.625799
0257,257.0,Indian Rd At Birchview Dr,43.538611,-79.621917
0258,258.0,Indian Rd At Caldwell Ave,43.540154,-79.617711
0259,259.0,Indian Rd At Tecumseh Park Dr,43.541567,-79.613866
0260,260.0,Indian Rd At Woodeden Dr,43.54259,-79.611404
0261,261.0,Indian Rd At Indian Grove,43.5471,-79.606388
0262,262.0,Indian Rd At Kane Rd,43.5508,-79.602402
0263,263.0,Mississauga Rd South Of Indian Rd,43.550638,-79.597973
0264,264.0,Mississauga Rd At Park St,43.549249,-79.591915
0266,266.0,Lakeshore Rd At Johnsons Lane,43.522532,-79.617606
0267,267.0,Lakeshore Rd At John St,43.54958,-79.58807
0268,268.0,Lakeshore Rd At Mississauga Rd,43.548275,-79.589586
0269,269.0,Lakeshore Rd At Benson Ave,43.54465,-79.593594
0270,270.0,Lakeshore Rd At Maple Ave,43.543184,-79.595163
0272,272.0,Lakeshore Rd At Shawnmarr Rd,43.540706,-79.597907
0273,273.0,Tomken Rd At Tomken Station,43.622433,-79.624093
0275,275.0,Lakeshore Rd At Lorne Park Rd,43.532166,-79.607176
0276,276.0,Lakeshore Rd At Festavon Crt,43.526779,-79.612881
0278,278.0,Lakeshore Rd At Silver Birch Trail,43.524335,-79.615548
0279,279.0,Lakeshore Rd At Meadow Wood Rd,43.519475,-79.620955
0280,280.0,Lakeshore Rd At Clarkson Rd,43.517493,-79.623103
0281,281.0,Lakeshore Rd West Of Clarkson Rd,43.5152,-79.625593
0282,282.0,Lakeshore Rd At Walden Cir,43.513859,-79.627133
0283,283.0,Southdown Rd At Hartland Dr,43.514634,-79.634498
0284,284.0,Inverhouse Dr At Carrera Crt,43.508632,-79.620744
0285,285.0,Inverhouse Dr South Of Bonnymede Dr,43.510423,-79.623672
0286,286.0,Southdown Rd South Of Lushes Ave,43.508973,-79.627404
0287,287.0,Southdown Rd South Of Royal Windsor Dr,43.510265,-79.629243
0288,288.0,Southdown Rd At South Sheridan Way,43.522182,-79.644787
0289,289.0,Indian Rd At Cermel Dr,43.543336,-79.610508
0290,290.0,Indian Rd At Cermel Dr,43.543614,-79.610477
0291,291.0,Lakeshore Rd At Balboa Dr,43.53899,-79.599704
0292,292.0,Lakeshore Rd At Ibar Way,43.536473,-79.602422
0294,294.0,Sorrento Dr At Trudeau Ave,43.607971,-79.649137
