route_id,route_short_name,route_long_name,service_period,trips
66,66,McLaughlin,other,0
66,66,McLaughlin,unknown,0
68,68,Terry Fox,early morning,2
68,68,Terry Fox,AM peak,5
68,68,Terry Fox,midday,10
68,68,Terry Fox,PM peak,6
68,68,Terry Fox,evening,5
68,68,Terry Fox,late night,6
68,68,Terry Fox,other,0
68,68,Terry Fox,unknown,0
70,70,Keaton,early morning,0
70,70,Keaton,AM peak,11
70,70,Keaton,midday,4
70,70,Keaton,PM peak,13
70,70,Keaton,evening,0
70,70,Keaton,late night,0
70,70,Keaton,other,0
70,70,Keaton,unknown,0
71,71,Sheridan,early morning,0
71,71,Sheridan,AM peak,3
71,71,Sheridan,midday,0
71,71,Sheridan,PM peak,5
71,71,Sheridan,evening,0
71,71,Sheridan,late night,0
71,71,Sheridan,other,0
71,71,Sheridan,unknown,0
73,73,Kamato,early morning,2
73,73,Kamato,AM peak,12
73,73,Kamato,midday,4
73,73,Kamato,PM peak,15
73,73,Kamato,evening,1
73,73,Kamato,late night,0
73,73,Kamato,other,0
73,73,Kamato,unknown,0
74,74,Explorer,early morning,3
74,74,Explorer,AM peak,8
74,74,Explorer,midday,6
74,74,Explorer,PM peak,11
74,74,Explorer,evening,5
74,74,Explorer,late night,0
74,74,Explorer,other,0
74,74,Explorer,unknown,0
90,90,Terragar-Copenhagen Loop,early morning,6
90,90,Terragar-Copenhagen Loop,AM peak,11
90,90,Terragar-Copenhagen Loop,midday,17
90,90,Terragar-Copenhagen Loop,PM peak,16
90,90,Terragar-Copenhagen Loop,evening,8
90,90,Terragar-Copenhagen Loop,late night,5
90,90,Terragar-Copenhagen Loop,other,0
90,90,Terragar-Copenhagen Loop,unknown,0
101,101,Dundas Express,early morning,9
101,101,Dundas Express,AM peak,24
101,101,Dundas Express,midday,48
101,101,Dundas Express,PM peak,30
101,101,Dundas Express,evening,19
101,101,Dundas Express,late night,7
101,101,Dundas Express,other,0
101,101,Dundas Express,unknown,0
103,103,Hurontario Express,early morning,9
103,103,Hurontario Express,AM peak,21
103,103,Hurontario Express,midday,26
103,103,Hurontario Express,PM peak,26
103,103,Hurontario Express,evening,13
103,103,Hurontario Express,late night,9
103,103,Hurontario Express,other,0
103,103,Hurontario Express,unknown,0
107,107,Malton Express,early morning,8
107,107,Malton Express,AM peak,25
107,107,Malton Express,midday,48
107,107,Malton Express,PM peak,40
107,107,Malton Express,evening,18
107,107,Malton Express,late night,8
107,107,Malton Express,other,0
107,107,Malton Express,unknown,0
108,108,Financial Express,early morning,2
108,108,Financial Express,AM peak,8
108,108,Financial Express,midday,3
108,108,Financial Express,PM peak,11
108,108,Financial Express,evening,2
108,108,Financial Express,late night,0
108,108,Financial Express,other,0
108,108,Financial Express,unknown,0
109,109,Meadowvale Express,early morning,8
109,109,Meadowvale Express,AM peak,29
109,109,Meadowvale Express,midday,50
109,109,Meadowvale Express,PM peak,42
109,109,Meadowvale Express,evening,24
109,109,Meadowvale Express,late night,9
109,109,Meadowvale Express,other,0
109,109,Meadowvale Express,unknown,0
110,110,University Express,early morning,14
110,110,University Express,AM peak,18
110,110,University Express,midday,34
110,110,University Express,PM peak,21
110,110,University Express,evening,15
110,110,University Express,late night,16
110,110,University Express,other,0
110,110,University Express,unknown,0
126,126,Burnhamthorpe Express,early morning,0
126,126,Burnhamthorpe Express,AM peak,14
126,126,Burnhamthorpe Express,midday,10
126,126,Burnhamthorpe Express,PM peak,24
126,126,Burnhamthorpe Express,evening,1
126,126,Burnhamthorpe Express,late night,0
126,126,Burnhamthorpe Express,other,0
126,126,Burnhamthorpe Express,unknown,0
135,135,Eglinton Express,early morning,1
135,135,Eglinton Express,AM peak,24
135,135,Eglinton Express,midday,5
135,135,Eglinton Express,PM peak,24
135,135,Eglinton Express,evening,0
135,135,Eglinton Express,late night,0
135,135,Eglinton Express,other,0
135,135,Eglinton Express,unknown,0
302,302,Philip Pocock SS,early morning,0
302,302,Philip Pocock SS,AM peak,0
302,302,Philip Pocock SS,midday,2
302,302,Philip Pocock SS,PM peak,0
302,302,Philip Pocock SS,evening,0
302,302,Philip Pocock SS,late night,0
302,302,Philip Pocock SS,other,0
302,302,Philip Pocock SS,unknown,0
304,304,Father Goetz SS,early morning,0
304,304,Father Goetz SS,AM peak,1
304,304,Father Goetz SS,midday,0
304,304,Father Goetz SS,PM peak,0
304,304,Father Goetz SS,evening,0
304,304,Father Goetz SS,late night,0
304,304,Father Goetz SS,other,0
304,304,Father Goetz SS,unknown,0
306,306,Streetsville SS,early morning,0
306,306,Streetsville SS,AM peak,0
306,306,Streetsville SS,midday,1
306,306,Streetsville SS,PM peak,0
306,306,Streetsville SS,evening,0
306,306,Streetsville SS,late night,0
306,306,Streetsville SS,other,0
306,306,Streetsville SS,unknown,0
307,307,Philip Pocock SS,early morning,0
307,307,Philip Pocock SS,AM peak,1
307,307,Philip Pocock SS,midday,1
307,307,Philip Pocock SS,PM peak,0
307,307,Philip Pocock SS,evening,0
307,307,Philip Pocock SS,late night,0
307,307,Philip Pocock SS,other,0
307,307,Philip Pocock SS,unknown,0
312,312,Glenforest SS,early morning,0
312,312,Glenforest SS,AM peak,1
312,312,Glenforest SS,midday,1
312,312,Glenforest SS,PM peak,0
312,312,Glenforest SS,evening,0
312,312,Glenforest SS,late night,0
312,312,Glenforest SS,other,0
312,312,Glenforest SS,unknown,0
313,313,Streetsville SS,early morning,0
313,313,Streetsville SS,AM peak,1
313,313,Streetsville SS,midday,2
313,313,Streetsville SS,PM peak,0
313,313,Streetsville SS,evening,0
313,313,Streetsville SS,late night,0
313,313,Streetsville SS,other,0
313,313,Streetsville SS,unknown,0
314,314,Rick Hansen SS,early morning,0
314,314,Rick Hansen SS,AM peak,1
314,314,Rick Hansen SS,midday,0
314,314,Rick Hansen SS,PM peak,1
314,314,Rick Hansen SS,evening,0
314,314,Rick Hansen SS,late night,0
314,314,Rick Hansen SS,other,0
314,314,Rick Hansen SS,unknown,0
315,315,Rick Hansen SS,early morning,0
315,315,Rick Hansen SS,AM peak,1
315,315,Rick Hansen SS,midday,0
315,315,Rick Hansen SS,PM peak,2
315,315,Rick Hansen SS,evening,0
315,315,Rick Hansen SS,late night,0
315,315,Rick Hansen SS,other,0
315,315,Rick Hansen SS,unknown,0
321,321,Stephen Lewis SS,early morning,0
321,321,Stephen Lewis SS,AM peak,2
321,321,Stephen Lewis SS,midday,2
321,321,Stephen Lewis SS,PM peak,1
321,321,Stephen Lewis SS,evening,0
321,321,Stephen Lewis SS,late night,0
321,321,Stephen Lewis SS,other,0
321,321,Stephen Lewis SS,unknown,0
