shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10392,43.626865,-79.564332,570015,18.666
10392,43.626927,-79.564121,570016,18.684
10392,43.626978,-79.563938,570017,18.700
10392,43.627011,-79.563815,570018,18.710
10392,43.627051,-79.563671,570019,18.723
10392,43.627341,-79.562464,570020,18.825
10392,43.627341,-79.562464,580001,18.825
10392,43.627362,-79.562379,580002,18.833
10392,43.627653,-79.561004,580003,18.948
10392,43.628085,-79.559096,580004,19.110
10392,43.628449,-79.557487,580005,19.245
10392,43.628704,-79.556360,580006,19.341
10392,43.628719,-79.556295,580007,19.346
10392,43.628958,-79.555238,580008,19.436
10392,43.628958,-79.555238,590001,19.436
10392,43.629025,-79.554944,590002,19.460
10392,43.629044,-79.554872,590003,19.467
10392,43.629102,-79.554667,590004,19.484
10392,43.629157,-79.554462,590005,19.502
10392,43.629215,-79.554258,590006,19.520
10392,43.629333,-79.553851,590007,19.555
10392,43.629387,-79.553648,590008,19.573
10392,43.629404,-79.553586,590009,19.578
10392,43.629445,-79.553444,590010,19.590
10392,43.629509,-79.553242,590011,19.608
10392,43.629567,-79.553040,590012,19.626
10392,43.629629,-79.552837,590013,19.643
10392,43.629688,-79.552636,590014,19.661
10392,43.629783,-79.552328,590015,19.688
10392,43.629900,-79.551930,590016,19.723
10392,43.629905,-79.551902,590017,19.725
10392,43.629932,-79.551795,590018,19.734
10392,43.629963,-79.551688,590019,19.743
10392,43.629991,-79.551580,590020,19.753
10392,43.630017,-79.551472,590021,19.762
10392,43.630045,-79.551363,590022,19.771
10392,43.630071,-79.551255,590023,19.780
10392,43.630094,-79.551146,590024,19.789
10392,43.630122,-79.551038,590025,19.799
10392,43.630144,-79.550928,590026,19.808
10392,43.630167,-79.550819,590027,19.817
10392,43.630193,-79.550709,590028,19.826
10392,43.630216,-79.550601,590029,19.835
10392,43.630248,-79.550484,590030,19.845
10392,43.630274,-79.550369,590031,19.855
10392,43.630302,-79.550251,590032,19.865
10392,43.630329,-79.550135,590033,19.875
10392,43.630355,-79.550018,590034,19.885
10392,43.630383,-79.549901,590035,19.895
10392,43.630397,-79.549828,590036,19.901
10392,43.630518,-79.549219,590037,19.952
10392,43.630518,-79.549219,600001,19.952
10392,43.630528,-79.549167,600002,19.956
10392,43.630953,-79.547318,600003,20.113
10392,43.631042,-79.546931,600004,20.145
10392,43.631179,-79.546627,600005,20.174
10392,43.631179,-79.546627,610001,20.174
10392,43.631194,-79.546593,610002,20.177
10392,43.631196,-79.546589,610003,20.178
10392,43.631433,-79.546126,610004,20.223
10392,43.631828,-79.545339,610005,20.300
10392,43.631968,-79.545057,610006,20.328
10392,43.631968,-79.545057,620001,20.328
10392,43.632140,-79.544708,620002,20.362
10392,43.632699,-79.543691,620003,20.465
10392,43.632977,-79.543293,620004,20.509
10392,43.633481,-79.542721,620005,20.582
10392,43.634136,-79.542052,620006,20.673
10392,43.634613,-79.541524,620007,20.741
10392,43.634613,-79.541524,630001,20.741
10392,43.634755,-79.541369,630002,20.761
10392,43.635374,-79.540742,630003,20.846
10392,43.635975,-79.540228,630004,20.925
10392,43.635975,-79.540228,640001,20.925
10392,43.636129,-79.540096,640002,20.945
10392,43.635975,-79.539703,640003,20.981
10392,43.635858,-79.539520,640004,21.001
10392,43.635727,-79.539431,640005,21.017
10392,43.635539,-79.539323,640006,21.040
10392,43.635443,-79.539244,640007,21.052
10392,43.635309,-79.539001,640008,21.077
10392,43.635486,-79.538785,640009,21.103
10392,43.636120,-79.537992,640010,21.198
10392,43.636136,-79.537966,640011,21.201
10392,43.636152,-79.537934,640012,21.204
10392,43.636161,-79.537897,640013,21.207
10392,43.636164,-79.537866,640014,21.210
10392,43.636164,-79.537835,640015,21.212
10392,43.636161,-79.537803,640016,21.215
10392,43.636156,-79.537772,640017,21.217
10392,43.636148,-79.537746,640018,21.220
10392,43.636135,-79.537721,640019,21.222
10392,43.636116,-79.537698,640020,21.225
10392,43.636088,-79.537677,640021,21.228
10392,43.636052,-79.537668,640022,21.232
10392,43.636026,-79.537666,640023,21.235
10392,43.635995,-79.537674,640024,21.239
10392,43.635966,-79.537687,640025,21.242
10392,43.635942,-79.537698,640026,21.245
10392,43.635925,-79.537712,640027,21.247
10392,43.634980,-79.538804,640028,21.384
10392,43.634948,-79.538851,640029,21.390
10392,43.634925,-79.538900,640030,21.394
10392,43.634918,-79.538936,640031,21.397
10392,43.634914,-79.538975,640032,21.400
10392,43.634916,-79.539020,640033,21.404
10392,43.634921,-79.539048,640034,21.406
10392,43.634929,-79.539076,640035,21.409
10392,43.634942,-79.539110,640036,21.412
10392,43.634963,-79.539146,640037,21.416
10392,43.634983,-79.539164,640038,21.418
10392,43.635008,-79.539181,640039,21.421
10392,43.635039,-79.539195,640040,21.425
10392,43.635065,-79.539200,640041,21.428
10392,43.635088,-79.539202,640042,21.430
10392,43.635132,-79.539190,640043,21.435
10392,43.635181,-79.539157,640044,21.441
10392,43.635216,-79.539115,640045,21.447
10392,43.635263,-79.539057,640046,21.454
10393,43.635263,-79.539057,10001,0.000
10393,43.635309,-79.539001,10002,0.007
10393,43.635443,-79.539244,10003,0.031
10393,43.635539,-79.539323,10004,0.044
10393,43.635727,-79.539431,10005,0.066
10393,43.635858,-79.539520,10006,0.083
10393,43.635975,-79.539703,10007,0.102
10393,43.636129,-79.540096,10008,0.138
